name,summary,url,source,category,scraped_at
Gojek,Indonesian on-demand multi-service platform and digital payment technology group,https://www.gojek.com/,Manual Entry,Technology/Transportation,2025-07-02T10:00:32.297706
Tokopedia,Indonesian e-commerce company; one of the largest marketplaces in Southeast Asia,https://www.tokopedia.com/,Manual Entry,E-commerce,2025-07-02T10:00:32.297717
Traveloka,Indonesian unicorn company that provides online travel booking services,https://www.traveloka.com/,Manual Entry,Travel/Technology,2025-07-02T10:00:32.297719
Bukalapak,Indonesian e-commerce company founded in 2010 by Achmad Zaky,https://www.bukalapak.com/,Manual Entry,E-commerce,2025-07-02T10:00:32.297720
Ruangguru,Indonesian ed-tech company providing learning management systems and educational content,https://www.ruangguru.com/,Manual Entry,Education/Technology,2025-07-02T10:00:32.297721
Tango (merek Indonesia),Tango adalah merek wafer dan minuman susu milik Orang Tua. Merek ini diperkenalkan di Indonesia pada tahun 1994 sebagai merek permen; kemudian pada tahun 1995 wafer Tango mulai diproduksi. Sejak 2010-an permen Tango sudah tidak diproduksi lagi.,https://id.wikipedia.org/wiki/Tango_(merek_Indonesia),Wikipedia,General,2025-07-02T10:00:33.911303
Daftar merek rokok di Indonesia,Indonesia

Berikut ini Daftar Rokok dari berbagai merek yang di Produksi dan Di Jual di Indonesia,https://id.wikipedia.org/wiki/Daftar_merek_rokok_di_Indonesia,Wikipedia,General,2025-07-02T10:00:35.210993
Krisbow,Krisbow merupakan sebuah merek berbagai perkakas teknik; permesinan; pertukangan dan industri; perangkat rumah tangga; alat keselamatan; dan furniture asal Indonesia. Merek dagang ini merupakan bagian dari Kawan Lama Group yang diperkenalkan pada tahun 1998. Merek ini tidak memiliki pabrik sendiri n...,https://id.wikipedia.org/wiki/Krisbow,Wikipedia,General,2025-07-02T10:00:36.459012
Khong Guan,Khong Guan merupakan perusahaan berskala internasional yang bergerak dibidang industri makanan khususnya produk biskuit dan wafer. Produk ini pertama kali muncul di tahun 1947; tepatnya di Singapura.,https://id.wikipedia.org/wiki/Khong_Guan,Wikipedia,General,2025-07-02T10:00:37.755863
Energen,Energen adalah merek minuman sereal yang dimiliki oleh PT. Torabika Eka Semesta; anak perusahaan dari Mayora Indah Tbk. dan Vouno Trade Marketing Services Inc yang berbasis di Filipina. Merek ini diperkuat dengan SIGMAvit. Merek ini juga memiliki varian lain yang dinamakan Energen Champion; dimana i...,https://id.wikipedia.org/wiki/Energen,Wikipedia,General,2025-07-02T10:00:39.004270
Samudera Indonesia,PT Samudera Indonesia Tbk adalah sebuah perusahaan logistik dan pelayaran yang berkantor pusat di Jakarta; Indonesia. Untuk mendukung kegiatan bisnisnya; hingga tahun 2022; perusahaan ini memiliki lebih dari 150 anak usaha; cabang; dan kantor yang tersebar di seluruh dunia.,https://id.wikipedia.org/wiki/Samudera_Indonesia,Wikipedia,General,2025-07-02T10:00:42.683605
Daftar perusahaan di Indonesia,Daftar perusahaan di Indonesia pada halaman ini memuat definisi perusahaan swasta Indonesia; menurut industri atau bidang usahanya. Anda dapat membantu melengkapi daftar ini di artikelnya masing-masing.,https://id.wikipedia.org/wiki/Daftar_perusahaan_di_Indonesia,Wikipedia,General,2025-07-02T10:00:44.179366
Daftar perusahaan batu bara Indonesia,Berikut adalah daftar perusahaan penambang batu bara di Indonesia yang terdaftar dalam Asosiasi Pertambangan Batubara Indonesia (APBI):,https://id.wikipedia.org/wiki/Daftar_perusahaan_batu_bara_Indonesia,Wikipedia,General,2025-07-02T10:00:45.556037
Kementerian Kelautan dan Perikanan Republik Indonesia,Kementerian Kelautan dan Perikanan (disingkat KKP atau Kemenlutkan) adalah kementerian dalam Pemerintah Indonesia yang membidangi urusan kelautan dan perikanan. Kementerian Kelautan dan Perikanan dipimpin oleh seorang Menteri Kelautan dan Perikanan (MKP) yang pertama kali dijabat oleh Sarwono Kusuma...,https://id.wikipedia.org/wiki/Kementerian_Kelautan_dan_Perikanan_Republik_Indonesia,Wikipedia,General,2025-07-02T10:00:46.943165
Daftar badan usaha milik negara di Indonesia,Berikut ini daftar perusahaan Badan Usaha Milik Negara (BUMN) Indonesia; baik perusahaan BUMN yang masih beroperasi; perusahaan yang pernah berstatus BUMN namun kini telah kehilangan statusnya; perusahaan yang akan memperoleh status BUMN; maupun perusahaan yang akan kehilangan status BUMN-nya. Per O...,https://id.wikipedia.org/wiki/Daftar_badan_usaha_milik_negara_di_Indonesia,Wikipedia,General,2025-07-02T10:00:48.348079
Crystal Widjaja,Crystal Widjaja (lahir 21 Mei 1991) adalah seorang penasihat startup. Ia sempat bekerja di Gojek; sebuah perusahaan teknologi asal Indonesia; sebagai Senior Vice President Business Intelligence. Sekarang; ia berperan sebagai investor malaikat di Sequoia Capital.Selain berperan sebagai investor malai...,https://id.wikipedia.org/wiki/Crystal_Widjaja,Wikipedia,General,2025-07-02T10:00:51.787261
Investree,PT Investree Radhika Jaya (Investree) adalah perusahaan rintisan teknologi finansial yang bergerak di bidang peer-to-peer lending dan berkantor pusat di Jakarta; Indonesia. Perusahaan ini resmi berdiri pada bulan Oktober 2015. Namun; izin usahanya telah dicabut oleh Otoritas Jasa Keuangan pada tangg...,https://id.wikipedia.org/wiki/Investree,Wikipedia,General,2025-07-02T10:00:53.064585
Monotaro Indonesia,PT. Monotaro Indonesia adalah perusahaan B2B E-commerce (Business-to-Business) atau perdagangan daring untuk konsumen bisnis yang beroperasi di Indonesia. Perusahaan ini menyediakan produk kebutuhan berbagai jenis industri; mulai dari manufaktur; konstruksi; pertambangan; jasa; pertanian/perkebunan;...,https://id.wikipedia.org/wiki/Monotaro_Indonesia,Wikipedia,General,2025-07-02T10:00:54.356268
Gerakan Nasional 1000 Startup Digital,Gerakan Nasional 1000 Startup Digital adalah program pembinaan perusahaan rintisan tingkat awal (early-stage) yang diprakasai oleh Kementerian Komunikasi dan Informatika Republik Indonesia dan Direktorat Jenderal Aplikasi Informatika sejak 2016. Program ini memfasilitasi peserta untuk  berjejaring d...,https://id.wikipedia.org/wiki/Gerakan_Nasional_1000_Startup_Digital,Wikipedia,General,2025-07-02T10:00:56.201530
Perusahaan rintisan,Perusahaan rintisan (Inggris: startup company atau start-up company) adalah istilah yang merujuk pada semua perusahaan yang belum lama beroperasi. Perusahaan-perusahaan ini sebagian besar merupakan perusahaan yang baru didirikan dan berada dalam fase pengembangan dan penelitian untuk menemukan pasar...,https://id.wikipedia.org/wiki/Perusahaan_rintisan,Wikipedia,General,2025-07-02T10:00:57.812183
Shopee,Shopee adalah situs web perdagangan elektronik berkantor pusat di Singapura yang dimiliki oleh Sea Limited (sebelumnya dikenal dengan nama Garena); yang didirikan pada 2009 oleh Forrest Li. Shopee pertama kali diluncurkan di Singapura pada tahun 2015; dan sejak itu memperluas jangkauannya ke Malaysi...,https://id.wikipedia.org/wiki/Shopee,Wikipedia,General,2025-07-02T10:01:01.249884
Windah Basudara,Brando Franco Windah (lahir 14 Maret 1992); secara profesional dikenal sebagai Windah Basudara merupakan seorang kreator konten dan penyiar langsung asal Indonesia. Ia dikenal karena melakukan siaran langsung pada permainan video di YouTube. Ia juga dikenal berkat istilah "Bocil Kematian" yang digun...,https://id.wikipedia.org/wiki/Windah_Basudara,Wikipedia,General,2025-07-02T10:01:02.489004
Ayam brand,Ayam Brand atau Ayam adalah salah satu merek konsumen tertua di Asia. Ayam berarti “sejenis unggas dari famili Phasianidae“ dalam bahasa Melayu dan produk ikonik secara historis pada ikan sarden dengan saus tomat dalam kaleng.
Ayam Brand adalah merek makanan rak yang stabil. Memproduksi lebih dari 6...,https://id.wikipedia.org/wiki/Ayam_brand,Wikipedia,General,2025-07-02T10:01:03.901910
Puteri Indonesia 2025,Puteri Indonesia 2025 adalah edisi ke-28 dari ajang kontes kecantikan Puteri Indonesia yang digelar pada 2 Mei 2025 di Plenary Hall; Jakarta International Convention Center di Jakarta; Indonesia. Harashta Haifa Zahra dari Jawa Barat memahkotai Firsta Yufi Amarta Putri dari Jawa Timur sebagai penerus...,https://id.wikipedia.org/wiki/Puteri_Indonesia_2025,Wikipedia,General,2025-07-02T10:01:05.246946
KAI Commuter,PT Kereta Commuter Indonesia (berbisnis dengan nama KAI Commuter) adalah anak usaha dari Kereta Api Indonesia yang bergerak di bidang pengoperasian kereta api komuter; kereta api bandara dan kereta api lokal. Sepanjang tahun 2023; perusahaan ini berhasil mengangkut sebanyak 331;895 juta penumpang di...,https://id.wikipedia.org/wiki/KAI_Commuter,Wikipedia,General,2025-07-02T10:01:06.491775
